district,dong_code,dong_name,floor,contract_date,rent_type,area_m2,deposit,rent,built_year,building_type,year,interest_rate,cpi,contract_year,building_age,dong_code_building_type_deposit_encoded,dong_code_building_type_rent_encoded
성북구,13900,석관동,1,2022-01-01,월세,19,1000,48,2018.0,단독다가구,2022,1.0,104.85,2022,4,2548.7722827010034,40.05501508271677
성북구,13600,하월곡동,1,2022-01-01,월세,17,1000,50,2016.0,단독다가구,2022,1.0,104.85,2022,6,2385.997188125445,43.22188700083532
성북구,12500,안암동5가,1,2022-01-01,월세,19,1000,40,1989.0,단독다가구,2022,1.0,104.85,2022,33,1520.8747958436334,55.750307354647234
성북구,10200,성북동1가,2,2022-01-01,월세,40,6000,40,2002.0,연립다세대,2022,1.0,104.85,2022,20,7982.856058878432,40.705846465624866
성북구,10100,성북동,1,2022-01-01,월세,108,5000,30,1977.0,연립다세대,2022,1.0,104.85,2022,45,10291.85100948542,57.83771540729162
성북구,11300,삼선동3가,1,2022-01-01,월세,53,500,31,1992.0,단독다가구,2022,1.0,104.85,2022,30,3468.8829886593508,48.7543065619222
성북구,12000,동선동5가,3,2022-01-01,월세,49,1000,80,1992.0,연립다세대,2022,1.0,104.85,2022,30,4817.492555271277,60.69758738366213
성북구,10800,동소문동5가,9,2022-01-01,월세,16,1000,87,2017.0,아파트,2022,1.0,104.85,2022,5,6079.047098065603,71.19195721603676
성북구,10800,동소문동5가,6,2022-01-01,월세,16,5000,68,2017.0,아파트,2022,1.0,104.85,2022,5,6079.047098065603,71.19195721603676
성북구,11800,동선동3가,3,2022-01-02,월세,40,2000,95,2001.0,연립다세대,2022,1.0,104.85,2022,21,4399.373290690812,47.683945890870014
성북구,11100,삼선동1가,1,2022-01-02,월세,15,6000,5,1995.0,단독다가구,2022,1.0,104.85,2022,27,3218.7104503858022,47.655801232996765
성북구,13900,석관동,1,2022-01-02,월세,18,2000,40,2018.0,단독다가구,2022,1.0,104.85,2022,4,2548.7722827010034,40.05501508271677
성북구,11600,동선동1가,1,2022-01-02,월세,18,1000,48,2010.0,단독다가구,2022,1.0,104.85,2022,12,3245.3306768088946,41.98724207081177
성북구,12500,안암동5가,1,2022-01-02,월세,15,300,35,1998.0,단독다가구,2022,1.0,104.85,2022,24,1520.8747958436334,55.750307354647234
성북구,11800,동선동3가,1,2022-01-02,월세,20,1000,50,2003.0,단독다가구,2022,1.0,104.85,2022,19,2249.520592796694,50.317768776061804
성북구,13300,정릉동,1,2022-01-02,월세,16,3000,30,2019.0,단독다가구,2022,1.0,104.85,2022,3,1858.006198999211,46.0424858731359
성북구,11200,삼선동2가,1,2022-01-02,월세,20,1000,35,1993.0,단독다가구,2022,1.0,104.85,2022,29,2363.601208993258,51.54281789854711
성북구,13100,보문동2가,1,2022-01-02,월세,30,1000,45,2000.0,단독다가구,2022,1.0,104.85,2022,22,2813.320336224279,48.59894435941663
성북구,13800,장위동,1,2022-01-02,월세,30,100,31,1994.0,단독다가구,2022,1.0,104.85,2022,28,3007.2556395454626,38.56414567363866
성북구,12200,안암동2가,1,2022-01-02,월세,20,1000,45,2017.0,단독다가구,2022,1.0,104.85,2022,5,2663.7801550152167,51.07733281579036
성북구,12200,안암동2가,4,2022-01-02,월세,14,1000,60,2018.0,연립다세대,2022,1.0,104.85,2022,4,3467.373852336344,53.22703443880794
성북구,13300,정릉동,1,2022-01-02,월세,25,1000,50,1992.0,단독다가구,2022,1.0,104.85,2022,30,1858.006198999211,46.0424858731359
성북구,12100,안암동1가,1,2022-01-02,월세,30,1000,55,1994.0,단독다가구,2022,1.0,104.85,2022,28,2250.6899899316268,50.17306129830727
성북구,13900,석관동,1,2022-01-03,월세,30,100,20,1992.0,단독다가구,2022,1.0,104.85,2022,30,2548.7722827010034,40.05501508271677
성북구,11200,삼선동2가,7,2022-01-03,월세,114,20000,125,2008.0,아파트,2022,1.0,104.85,2022,14,15277.947613302797,88.7102391581781
성북구,12200,안암동2가,1,2022-01-03,월세,24,500,45,1993.0,단독다가구,2022,1.0,104.85,2022,29,2663.7801550152167,51.07733281579036
성북구,11200,삼선동2가,3,2022-01-03,월세,84,23500,13,2009.0,아파트,2022,1.0,104.85,2022,13,15277.947613302797,88.7102391581781
성북구,10300,돈암동,1,2022-01-03,월세,21,3000,25,1966.0,단독다가구,2022,1.0,104.85,2022,56,3183.428107934226,41.363879178405114
성북구,13300,정릉동,1,2022-01-03,월세,40,3000,35,1994.0,연립다세대,2022,1.0,104.85,2022,28,4901.345733950952,44.764533392061544
성북구,13500,종암동,4,2022-01-03,월세,47,3000,28,2014.0,연립다세대,2022,1.0,104.85,2022,8,5205.20456362643,56.23056564688258
성북구,11700,동선동2가,1,2022-01-03,월세,29,300,55,1997.0,단독다가구,2022,1.0,104.85,2022,25,2178.065242531236,49.77292164064757
성북구,11700,동선동2가,1,2022-01-03,월세,23,1000,45,2011.0,단독다가구,2022,1.0,104.85,2022,11,2178.065242531236,49.77292164064757
성북구,10700,동소문동4가,1,2022-01-03,월세,23,500,65,2008.0,단독다가구,2022,1.0,104.85,2022,14,4582.947613302796,45.52938809434831
성북구,12800,보문동6가,1,2022-01-03,월세,27,500,35,2017.0,단독다가구,2022,1.0,104.85,2022,5,2723.9853782523137,52.38881240434371
성북구,13300,정릉동,4,2022-01-03,월세,42,1000,50,1991.0,연립다세대,2022,1.0,104.85,2022,31,4901.345733950952,44.764533392061544
성북구,10400,동소문동1가,1,2022-01-03,월세,35,1000,50,1997.0,단독다가구,2022,1.0,104.85,2022,25,3643.645285005142,46.80847200965268
